#ZIPCODE,CITY,AREA,ROAD,CMP_LABLE,EVEN,LANE,LANE1,ALLEY,ALLEY1,NO_BGN,NO_BGN1,NO_END,NO_END1,FLOOR,FLOOR1,SCOOP,ROAD_NO,EXP,RMK
116,台北市,文山區,汀州路４段,0,,,,0,,,0,,0,,,全,237841,,0000000000
115,台北市,南港區,玉成街,0,,,,0,,,0,,0,,,全,238591,,0000000000
104,台北市,中山區,玉門街,0,,,,0,,,0,,0,,,全,238981,,0000000000
103,台北市,大同區,甘州街,0,,,,0,,,0,,0,,,全,241651,,0000000000
103,台北市,大同區,甘谷街,0,,,,0,,,0,,0,,,全,241711,,0000000000
112,台北市,北投區,石仙路,0,,,,0,,,0,,0,,,全,250231,,0000000000
112,台北市,北投區,石牌路１段,0,,,,0,,,0,,0,,,全,252301,,0000000000
112,台北市,北投區,石牌路２段,0,,,,0,,,0,,0,,,全,252331,,0000000000
112,台北市,北投區,立功街,0,,,,0,,,0,,0,,,全,254971,,0000000000
112,台北市,北投區,立農街１段,0,,,,0,,,0,,0,,,全,256051,,0000000000
112,台北市,北投區,立農街２段,0,,,,0,,,0,,0,,,全,256081,,0000000000
112,台北市,北投區,立德路,0,,,,0,,,0,,0,,,全,256621,,0000000000
104,台北市,中山區,伊通街,0,,,,0,,,0,,0,,,全,256951,,0000000000
103,台北市,大同區,伊寧街,0,,,,0,,,0,,0,,,全,257011,,0000000000
111,台北市,士林區,仰德大道１段,0,,,,0,,,0,,0,,,全,257131,,0000000000
111,台北市,士林區,仰德大道２段,0,,,,0,,,0,,0,,,全,257161,,0000000000
111,台北市,士林區,仰德大道３段,0,,,,0,,,0,,0,,,全,257191,,0000000000
111,台北市,士林區,仰德大道４段,0,,,,0,,,0,,0,,,全,257221,,0000000000
112,台北市,北投區,光明路,0,,,,0,,,0,,0,,,全,260011,,0000000000
105,台北市,松山區,光復北路,0,,,,0,,,0,,0,,,全,261691,,0000000000
105,台北市,松山區,光復南路,6,1,,,0,,1,0,77,0,,,"單   1號至  77號",261781,,0001000000
105,台北市,松山區,光復南路,7,2,,,0,,2,0,70,0,,,"雙   2號至  70號",261781,,0002000000
106,台北市,大安區,光復南路,7,2,,,0,,72,0,9998,0,,,"雙  72號以上",261781,,0072000000
110,台北市,信義區,光復南路,6,1,,,0,,79,0,9999,0,,,"單  79號以上",261781,,0079000000
112,台北市,北投區,光華,H,,1,4,0,,,0,,0,,,"連   1巷至   4巷",262321,,0001000000
